"Post_ID","Post_Author_Name","Post_Author_Profile","Post_Author_JobTitle","Post_Content","Post_Reactions","Sentiment","Sentiment_Score","Date_Collected"
"7341394550231310337","LG","https://www.linkedin.com/company/lgindia/posts","174,405","Honored to be your comfort partner for 28 years across generations. Let’s celebrate this trust and togetherness with exclusive discounts and offers made just for you! # LG # LGIndia # LifesGood # 28YearsOfLG # LGGenerationsOfJoy","21","positive","0.125","2025-07-17 06:02:45"
"7349028585174638594","Annapoorna","https://www.linkedin.com/company/annapoornatrust/posts","3,370","On 8th July 2025, Sanjay Kaushik - Manager CSR (North India) along with Neha Roy - Manager CSR (NCR) on behalf of Sri Sathya Sai Annapoorna Trust had the privilege of visiting the LG Noida office to personally convey our gratitude for LG’s continued and meaningful support towards our Morning Nutrition Programme. During the visit, they met with Ms Neeta Linz and Ms Deepika Kukreti , and shared the Trust’s Annual Report, a detailed Impact Assessment Report, and the official Impact Assessment Certificate each symbolising the real, measurable change that LG’s partnership has brought into the lives of countless school children. LG’s support plays a pivotal role in our mission to ensure that every child begins their school day nourished, cared for, and ready to thrive. Together, with valued partners like LG, we are nourishing futures and fostering hope one child at a time. # LGIndia # CSRImpact # Annapoorna # AnnapoornaTrust # PMPoshan # ZeroHunger # Nutrition # Sustainability # letnochildgotoschoolhungryever","82","positive","0.257","2025-07-17 06:02:45"
"7347956161171570690","Sarthak","https://www.linkedin.com/in/sarthak-sawhney?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAB5_ke4BkxYpl5x7t6bA61UNA8SlnGF-GSw","Marketing & Brand Strategist | IIT Delhi | BIMTECH | LG India | Panasonic | Maruti Suzuki |","Proud to be part of this landmark moment for LG India as we inaugurated the LG Product Gallery, Bangalore on 12th June 2025 — a hub that brings together innovation, design, and next-gen HVAC technology under one roof. It was an incredible experience to contribute as Marketing Manager and witness the unveiling of immersive experience zones, insightful sessions, and meaningful interactions with industry leaders and collaborators. This milestone reflects LG’s unwavering commitment to shaping smarter, sustainable spaces for the future. Grateful to be part of the journey. # LGHVAC # Innovation # Marketing # LifeIsGood # Leadership # HVACTechnology # Bangalore # LGIndia","39","positive","0.55","2025-07-17 06:02:45"
"7339535951704051712","Arun","https://www.linkedin.com/in/arunadevadiga?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAADI34YB6QK2-65xGc0dlzCWuvX78_P1utI","Software Architect | Tech Enthusiast | GenAI | Technical mentor at Siemens","# UnpredictableLife # EveryMomentCounts # DeathHasNoWarning # BeKindAlways # LifeLessons # YouNeverKnow # TimeIsNow","520","neutral","0.0","2025-07-17 06:02:49"
"7341410770468917249","Gaurav","https://www.linkedin.com/in/gaurav-kumar-98740090?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABNH9XcBCKehVwpwsG5ACcky3q-uQ5ej95c","Manager Schneider Electric /Ex Retail Manager ABB/ Ex L&T Electrical and","Extremely Disappointed with LG AC Service! @LGIndia @LGElectronics I trusted LG for quality, but the recent air conditioner service has been nothing short of frustrating. Technicians arrived late and were unprepared Problem still not resolved after multiple visits No proper diagnosis — just temporary fixes Customer care gives false promises and no follow-up Despite repeated calls and complaints, the service experience has been unprofessional and careless. This is not what we expect from a reputed brand like LG. Requesting urgent attention and a permanent solution! # LGIndia # PoorService # ACIssue # CustomerComplaint # DisappointedWithLG CCO anju Gera dont have time to picked the call single time in last 18 days, Khalid Abdi Siddhant Rana Nishankit Jain # Lgelectrinics # Lgindia LG Electronics LG India LG Electronics North America recommended not to buy LG products Dear Customer, We have registered your request, Your Request number is RNP250528025212, you will receive it through text SMS on your registered contact number 9013700204and after completion of your request, you will receive a survey SMS, please share your feedback as per your experience. Dear Mr/Ms GAURAV KUMAR , Amount Rs 3377.8 has been Invoiced against receipt no. W58549/00051 dt. 26-Mar-2025 . You can check your Receipt on below link or can check your email as given https://lnkd.in/g23ryx5b Dear Mr/Ms GAURAV KUMAR , Amount Rs 650.1 has been Invoiced against receipt no. W58549/00063 dt. 30-May-2025 . You can check your Receipt on below link or can check your email as given https://lnkd.in/gBqDuTDT Dear Customer, Your request has been already registered [ RNP250608001146 ]. at [ 08/06/2025 07:10] , Our Engineer will contact you within 24 Hours from Request registration time , Is there anything else I may assist you with ?","8","negative","-0.249","2025-07-17 06:02:49"
"7341808567861067776","LG","https://www.linkedin.com/company/lgindia/posts","174,405","At LG India, we believe that true change begins at home—with the hearts and hands of our youngest generation. This World Environment Day, we were deeply proud to host an exhibition celebrating the incredible creativity of our employees' children. Under the theme ""Trash to Treasure,"" they transformed recycled materials into beautiful, meaningful art—reminding us all of the power of imagination in building a greener future. More than just a display, this was a reflection of the values we hold dear: creativity, familyship, and the belief that even small actions can spark big change. A heartfelt thank you to every child and parent who took part. Your passion and creativity inspire us all to care more deeply—for our planet and for each other. # LGIndia # Lifesgood # TrashToTreasure # WorldEnvironmentDay # Sustainability # EmployeeEngagement # LG","206","positive","0.335","2025-07-17 06:02:49"
"7317823986820689920","Vijay Ranjan","https://www.linkedin.com/in/vijayranjansingh?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAGCF-gBTdZp6zOCd4WPOYu4nzgNCXzI2WU","Transforming Business Through People | Head – HR, LG Electronics India Expert in Succession Planning | Org Design | Digital HR | Leadership Development | Policy","We recently wrapped up our much-awaited Annual # LGIndia Premier League…a thrilling knockout # cricket tournament with 8 passionate teams battling it out over two Sundays. The energy, excitement, and team spirit were sky high! Huge shoutout to Jasleen Ahluwalia ,the HR Culture team, and all committee members ( from different teams) for making it a grand success. Top takeaways from the field: It’s never over till the last ball. Keep # pushing till the end # success can come at the final moment. Always have a # backup plan. If the top order fails, your second strategy should be ready to go. One person can spark # change , but it takes a # team to win. Know your team’s # strengths and support their # weaknesses . Not everyone can do everything, and that’s okay. Here’s to blending # sportsmanship with # leadership on and off the field! # Teamwork # Leadership # CricketLessons # EmployeeEngagement # WorkplaceCulture LG Electronics LG India Jasleen Ahluwalia Siddhant Rana Imran Khan Rohit Joshi Shrey Sethi Akanksha Singh Bhawana Pal Shubhangi joshi Kapil Kumar Dushyant Gupta Sridhar Panda Sharma Abhishek","437","positive","0.224","2025-07-17 06:02:49"
"7230619135058092032","Mandeep S","https://www.linkedin.com/in/mandeep-s-wasu-9522358?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAF1Mg4BGpDGP-9RwTZCovXAeWUwSH2R4fw","Board Member & Director, Community Builder, Bridge between Government & Corporates, Best Practice Sharing for CRE, HR, Admin, CSR & Procurement, Accelerating Networking & Business Growth for Corporates & Start","The worst refrigerator company in the world LG Electronics . I have never experienced a worst product, or more irresponsible service team than LG India. My refrigerator which is in Warranty period is experiencing water leakage inside since more than 6 weeks. The incompetent service team has still not resolved it. The local service team leaders have no shame, not responding to calls, nor giving a deadline to the resolution. Now due to the pathetic quality, there is leakage outside also, After outrage on twitter, some service guy came and took video and said senior management will revert in 4 to 5 days. Its 3 weeks now. LG India if you cant build good products, please dont sell them in India and go back to your own country. Stop cheating Indians. I have written from their website to their India MD, H. J. Jeon also. Reference complaint number RNP240717035076. Lets see if he has an answer. I think full form of LG should be ""LAG GAYE (after buying their product)"" Kindly share this post to let everyone know what pathetic products are being sold by them. # cheaters # worstservice # falseclaims # lgindia # lgelectronics # lg # refrigerators","35","negative","-0.113","2025-07-17 06:02:54"
"7306285870590894080","Rishi","https://www.linkedin.com/in/birlarishi?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADJ9hwYBnijtW3F_uBxn0t4HS13uVs-ITvk","Equity Research Enthusiast | Valuation | Financial","Day 23 of my Writing Challenge Wrote about the IPO of LG India, Specially the risks involved with their business . . . . # LGIndia # LG # korean # equity # equitymarkets # tvschallenge","2","positive","0.357","2025-07-17 06:02:54"
"7329034447771590656","LG","https://www.linkedin.com/company/lgindia/posts","174,405","Throwback to a Strategic Milestone at LG! We recently had the honour of welcoming Vantika Agrawal, one of India’s most celebrated chess champions and an Arjuna Awardee, to the LG family; now officially our Brand Ambassador. The announcement occurred at our LG Headquarters in Noida, where Vantika engaged with our senior leadership, including our CEO and Marketing Director. Her inspiring presence and powerful speech reflected the essence of this partnership, one rooted in Innovation, Intelligence, and the Pursuit of Perfection. The moment made waves across media platforms, drawing national attention to this dynamic collaboration. Here’s to smart moves and sharper visions, welcome aboard, Vantika! # LG # LGIndia # LifesGood # VantikaAgrawal # ChessChampion # BrandAmbassador","116","positive","0.358","2025-07-17 06:02:54"
